Protein Complex,COGIDs,,,,,,,,,,,,,,,,,,,,,,,,,,,ECOLI Conservation Percent,ECOLI Protein IDs,MYCTU Conservation Percent,MYCTU Protein IDs,MYCLE Conservation Percent,MYCLE Protein IDs,BUCAI_APS Conservation Percent,BUCAI_APS Protein IDs,BUCAI_Cc Conservation Percent,BUCAI_Cc Protein IDs
CPLX0-7988,COG1024,COG1024,,,,,,,,,,,,,,,,,,,,,,,,,,1,"['FADB_ECOLI', 'PAAG_ECOLI', 'CAID_ECOLI', 'FADJ_ECOLI', 'PAAF_ECOLI', 'SCPB_ECOLI']",1,"['O06541_MYCTU', 'O53872_MYCTU', 'P71540_MYCTU', 'I6Y8F2_MYCTU', 'ECH12_MYCTU', 'I6Y4E8_MYCTU', 'ECHA6_MYCTU', 'I6YA03_MYCTU', 'ECHA8_MYCTU', 'P96404_MYCTU', 'O07179_MYCTU', 'O53419_MYCTU', 'I6Y8B5_MYCTU', 'O50402_MYCTU', 'O06542_MYCTU']",1,"['ECHA8_MYCLE', 'ECHA6_MYCLE', 'Q9CBD8_MYCLE', 'ECH12_MYCLE', 'Q7APV2_MYCLE']",0,[],0,[]
CPLX0-1762,COG1018,COG3396,COG3396,COG3460,,,,,,,,,,,,,,,,,,,,,,,,1,"['PAAE_ECOLI', 'PAAC_ECOLI', 'HMP_ECOLI', 'PAAB_ECOLI', 'FENR_ECOLI', 'HCR_ECOLI', 'CNTB_ECOLI', 'PAAA_ECOLI']",0.25,"['DESET_MYCTU', 'KSHB_MYCTU', 'O86347_MYCTU', 'P71846_MYCTU']",0,[],0.25,['FENR_BUCAI'],0.25,['Q056X1_BUCCC']
CPLX0-7844,COG1473,COG1473,,,,,,,,,,,,,,,,,,,,,,,,,,1,"['ABGB_ECOLI', 'ABGA_ECOLI']",1,"['L7N690_MYCTU', 'L7N663_MYCTU']",0,[],0,[],0,[]
CPLX0-2081,COG3412,COG2376,COG2376,,,,,,,,,,,,,,,,,,,,,,,,,1,"['DHAL_ECOLI', 'DHAM_ECOLI', 'DHAK_ECOLI']",0,[],0,[],0,[],0,[]
ABC-62-CPLX,COG4591,COG1136,COG4591,,,,,,,,,,,,,,,,,,,,,,,,,1,"['MACB_ECOLI', 'LOLE_ECOLI', 'LOLC_ECOLI', 'LOLD_ECOLI']",0.333333333,"['Y2564_MYCTU', 'Y986_MYCTU', 'Y073_MYCTU']",0,[],1,"['LOLD_BUCAI', 'LOLC_BUCAI']",0,[]
CITLY-CPLX,COG3052,COG3051,COG2301,,,,,,,,,,,,,,,,,,,,,,,,,1,"['CITD_ECOLI', 'CILA_ECOLI', 'CITE_ECOLI']",0.333333333,"['CITEL_MYCTU', 'I6YF40_MYCTU']",0,[],0,[],0,[]
CPLX0-5,COG0477,COG1538,,,,,,,,,,,,,,,,,,,,,,,,,,1,"['TOLC_ECOLI', 'MDTQ_ECOLI', 'TSGA_ECOLI', 'CUSC_ECOLI', 'YAJR_ECOLI', 'ENTS_ECOLI', 'MDTP_ECOLI', 'AMPG_ECOLI']",0.5,"['I6WZK3_MYCTU', 'O53668_MYCTU', 'O53854_MYCTU', 'Y849_MYCTU', 'Y037_MYCTU', 'Y876_MYCTU']",0.5,"['Y2143_MYCLE', 'Q7AQ40_MYCLE']",0.5,"['Y466_BUCAI', 'TSGA_BUCAI']",0,[]
CPLX0-3957,COG0419,COG0420,,,,,,,,,,,,,,,,,,,,,,,,,,1,"['SBCD_ECOLI', 'SBCC_ECOLI']",0.5,['Q50699_MYCTU'],0.5,['Q9CC84_MYCLE'],0,[],0,[]
ABC-64-CPLX,COG4521,COG0600,COG4525,,,,,,,,,,,,,,,,,,,,,,,,,1,"['TAUA_ECOLI', 'TAUB_ECOLI', 'TAUC_ECOLI', 'SSUC_ECOLI']",0,[],0,[],0,[],0,[]
CPLX0-7805,COG2080,COG1319,COG1529,,,,,,,,,,,,,,,,,,,,,,,,,1,"['XDHD_ECOLI', 'XDHD_ECOLI', 'XDHC_ECOLI', 'PAOB_ECOLI', 'PAOA_ECOLI', 'XDHB_ECOLI', 'XDHA_ECOLI', 'PAOC_ECOLI']",1,"['O53708_MYCTU', 'O53709_MYCTU', 'I6Y7N2_MYCTU']",0,[],0,[],0,[]
ABC-5-CPLX,COG4138,COG4139,COG0614,,,,,,,,,,,,,,,,,,,,,,,,,1,"['BTUD_ECOLI', 'BTUC_ECOLI', 'FHUD_ECOLI', 'BTUF_ECOLI']",0.333333333,"['O53291_MYCTU', 'L7N6B2_MYCTU']",0.333333333,['Q9CBQ4_MYCLE'],0,[],0,[]
CPLX0-7628,COG1452,COG2980,,,,,,,,,,,,,,,,,,,,,,,,,,1,"['LPTD_ECOLI', 'LPTE_ECOLI']",0,[],0,[],0,[],0,[]
ABC-33-CPLX,COG1129,COG4214,COG4213,,,,,,,,,,,,,,,,,,,,,,,,,1,"['XYLH_ECOLI', 'XYLF_ECOLI', 'RBSA_ECOLI', 'YTFR_ECOLI', 'MGLA_ECOLI', 'XYLG_ECOLI', 'ALSA_ECOLI', 'YPHE_ECOLI', 'ARAG_ECOLI', 'LSRA_ECOLI']",0,[],0,[],0,[],0,[]
CPLX-3946,COG1570,COG1722,,,,,,,,,,,,,,,,,,,,,,,,,,1,"['EX7L_ECOLI', 'EX7S_ECOLI']",1,"['EX7L_MYCTU', 'EX7S_MYCTU']",1,"['EX7S_MYCLE', 'EX7L_MYCLE']",0,[],0,[]
CPLX0-3959,COG4973,COG4974,,,,,,,,,,,,,,,,,,,,,,,,,,1,"['XERD_ECOLI', 'XERC_ECOLI']",0.5,['XERD_MYCTU'],0.5,['XERD_MYCLE'],0,[],0,[]
CPLX0-3976,COG2244,NOG04329,COG3765,,,,,,,,,,,,,,,,,,,,,,,,,1,"['WZXC_ECOLI', 'WZZB_ECOLI', 'RFBX_ECOLI', 'WZXE_ECOLI', 'FEPE_ECOLI', 'WZZE_ECOLI', 'YGHQ_ECOLI']",0,[],0,[],0,[],0,[]
TRANS-200-CPLX,COG1538,COG1136,COG0845,,,,,,,,,,,,,,,,,,,,,,,,,1,"['TOLC_ECOLI', 'MACB_ECOLI', 'MDTQ_ECOLI', 'CUSC_ECOLI', 'LOLD_ECOLI', 'MACA_ECOLI', 'MDTP_ECOLI']",0.333333333,"['Y2564_MYCTU', 'Y986_MYCTU', 'Y073_MYCTU']",0,[],0.333333333,['LOLD_BUCAI'],0,[]
CPLX0-2121,COG1566,COG0477,COG1538,,,,,,,,,,,,,,,,,,,,,,,,,1,"['YIAV_ECOLI', 'TOLC_ECOLI', 'YIBH_ECOLI', 'EMRK_ECOLI', 'MDTQ_ECOLI', 'EMRA_ECOLI', 'TSGA_ECOLI', 'CUSC_ECOLI', 'YAJR_ECOLI', 'YDHJ_ECOLI', 'ENTS_ECOLI', 'AAEA_ECOLI', 'MDTP_ECOLI', 'AMPG_ECOLI', 'MDTN_ECOLI']",0.333333333,"['I6WZK3_MYCTU', 'O53668_MYCTU', 'O53854_MYCTU', 'Y849_MYCTU', 'Y037_MYCTU', 'Y876_MYCTU']",0.333333333,"['Y2143_MYCLE', 'Q7AQ40_MYCLE']",0.333333333,"['Y466_BUCAI', 'TSGA_BUCAI']",0,[]
TRANS-CPLX-202,COG1538,COG0841,COG0841,COG0845,,,,,,,,,,,,,,,,,,,,,,,,1,"['TOLC_ECOLI', 'MDTF_ECOLI', 'MDTQ_ECOLI', 'CUSC_ECOLI', 'MDTB_ECOLI', 'ACRF_ECOLI', 'MDTC_ECOLI', 'MACA_ECOLI', 'ACRD_ECOLI', 'MDTP_ECOLI', 'ACRB_ECOLI']",0,[],0,[],0,[],0,[]
CPLX0-2161,COG1566,COG0477,COG1538,,,,,,,,,,,,,,,,,,,,,,,,,1,"['YIAV_ECOLI', 'TOLC_ECOLI', 'YIBH_ECOLI', 'EMRK_ECOLI', 'MDTQ_ECOLI', 'EMRA_ECOLI', 'TSGA_ECOLI', 'CUSC_ECOLI', 'YAJR_ECOLI', 'YDHJ_ECOLI', 'ENTS_ECOLI', 'AAEA_ECOLI', 'MDTP_ECOLI', 'AMPG_ECOLI', 'MDTN_ECOLI']",0.333333333,"['I6WZK3_MYCTU', 'O53668_MYCTU', 'O53854_MYCTU', 'Y849_MYCTU', 'Y037_MYCTU', 'Y876_MYCTU']",0.333333333,"['Y2143_MYCLE', 'Q7AQ40_MYCLE']",0.333333333,"['Y466_BUCAI', 'TSGA_BUCAI']",0,[]
TRANS-CPLX-204,COG1538,COG0845,COG0841,,,,,,,,,,,,,,,,,,,,,,,,,1,"['TOLC_ECOLI', 'MDTF_ECOLI', 'MDTQ_ECOLI', 'CUSC_ECOLI', 'MDTB_ECOLI', 'ACRF_ECOLI', 'MDTC_ECOLI', 'MACA_ECOLI', 'ACRD_ECOLI', 'MDTP_ECOLI', 'ACRB_ECOLI']",0,[],0,[],0,[],0,[]
RECFOR-CPLX,COG1195,COG0353,COG1381,,,,,,,,,,,,,,,,,,,,,,,,,1,"['RECO_ECOLI', 'RECR_ECOLI', 'RECF_ECOLI']",1,"['RECR_MYCTU', 'RECO_MYCTU', 'RECF_MYCTU']",1,"['RECF_MYCLE', 'RECR_MYCLE', 'RECO_MYCLE']",0,[],0,[]
UVRABC-CPLX,COG0210,COG0178,COG0322,COG0556,,,,,,,,,,,,,,,,,,,,,,,,1,"['UVRA_ECOLI', 'CHO_ECOLI', 'UVRC_ECOLI', 'REP_ECOLI', 'HELD_ECOLI', 'UVRB_ECOLI', 'UVRD_ECOLI']",1,"['O53347_MYCTU', 'UVRA_MYCTU', 'UVRD2_MYCTU', 'UVRB_MYCTU', 'UVRD1_MYCTU', 'UVRC_MYCTU', 'Y2191_MYCTU', 'O53348_MYCTU']",1,"['UVRD1_MYCLE', 'UVRC_MYCLE', 'UVRA_MYCLE', 'UVRB_MYCLE', 'UVRD2_MYCLE']",0.25,['REP_BUCAI'],0.25,['Q056W5_BUCCC']
CPLX0-3925,COG0389,COG1974,,,,,,,,,,,,,,,,,,,,,,,,,,1,"['LEXA_ECOLI', 'UMUC_ECOLI', 'COHE_ECOLI', 'DPO4_ECOLI', 'UMUD_ECOLI']",1,"['DPO42_MYCTU', 'O50419_MYCTU', 'DPO41_MYCTU', 'LEXA_MYCTU']",0.5,['LEXA_MYCLE'],0,[],0,[]
CPLX-157,COG1264,COG2190,,,,,,,,,,,,,,,,,,,,,,,,,,1,"['PTGA_ECOLI', 'PTIBC_ECOLI', 'PTTBC_ECOLI', 'PTV3B_ECOLI', 'PTV3B_ECOLI', 'PTW3C_ECOLI', 'PTW3C_ECOLI', 'PTGCB_ECOLI', 'PTOCB_ECOLI', 'PTYBC_ECOLI']",0,[],0,[],1,"['PTGCB_BUCAI', 'PTGA_BUCAI']",0,[]
TRYPSYN,COG0159,COG0133,,,,,,,,,,,,,,,,,,,,,,,,,,1,"['TRPA_ECOLI', 'TRPB_ECOLI']",1,"['TRPA_MYCTU', 'TRPB_MYCTU']",1,"['TRPB_MYCLE', 'TRPA_MYCLE']",1,"['TRPB_BUCAI', 'TRPA_BUCAI']",0,[]
CPLX0-7609,COG0486,COG0445,,,,,,,,,,,,,,,,,,,,,,,,,,1,"['MNMG_ECOLI', 'MNME_ECOLI']",0,[],0,[],1,"['MNME_BUCAI', 'MNMG_BUCAI']",1,"['MNME_BUCCC', 'MNMG_BUCCC']"
ABC-29-CPLX,COG4167,COG4170,COG4168,COG4171,COG4166,,,,,,,,,,,,,,,,,,,,,,,1,"['SAPF_ECOLI', 'SAPC_ECOLI', 'MPPA_ECOLI', 'YGIS_ECOLI', 'SAPA_ECOLI', 'SAPB_ECOLI', 'SAPD_ECOLI', 'YEJA_ECOLI', 'OPPA_ECOLI']",0.2,['I6X811_MYCTU'],0,[],0,[],0,[]
CPLX-164,COG1264,COG2190,,,,,,,,,,,,,,,,,,,,,,,,,,1,"['PTGA_ECOLI', 'PTIBC_ECOLI', 'PTTBC_ECOLI', 'PTV3B_ECOLI', 'PTV3B_ECOLI', 'PTW3C_ECOLI', 'PTW3C_ECOLI', 'PTGCB_ECOLI', 'PTOCB_ECOLI', 'PTYBC_ECOLI']",0,[],0,[],1,"['PTGCB_BUCAI', 'PTGA_BUCAI']",0,[]
CPLX-168,COG1264,COG2190,,,,,,,,,,,,,,,,,,,,,,,,,,1,"['PTGA_ECOLI', 'PTIBC_ECOLI', 'PTTBC_ECOLI', 'PTV3B_ECOLI', 'PTV3B_ECOLI', 'PTW3C_ECOLI', 'PTW3C_ECOLI', 'PTGCB_ECOLI', 'PTOCB_ECOLI', 'PTYBC_ECOLI']",0,[],0,[],1,"['PTGCB_BUCAI', 'PTGA_BUCAI']",0,[]
CPLX0-245,COG0450,COG3634,,,,,,,,,,,,,,,,,,,,,,,,,,1,"['AHPF_ECOLI', 'AHPC_ECOLI']",0.5,['AHPC_MYCTU'],0.5,['Q9CBF5_MYCLE'],0.5,['AHPC_BUCAI'],0.5,['Q057V5_BUCCC']
CPLX-156,COG1762,COG2213,,,,,,,,,,,,,,,,,,,,,,,,,,1,"['PTMA_ECOLI', 'PTSN_ECOLI', 'PTKA_ECOLI', 'MNGA_ECOLI', 'ULAC_ECOLI', 'FRVR_ECOLI', 'PTMCB_ECOLI', 'PTM3C_ECOLI', 'PTFX2_ECOLI', 'PTFLA_ECOLI']",0,[],0,[],0.5,['PTM3C_BUCAI'],0,[]
CPLX0-3949,COG2022,COG1060,,,,,,,,,,,,,,,,,,,,,,,,,,1,"['THIH_ECOLI', 'THIG_ECOLI']",1,"['FBIC_MYCTU', 'THIG_MYCTU']",1,"['THIG_MYCLE', 'FBIC_MYCLE']",0,[],0,[]
CPLX-8029,COG1060,COG2022,,,,,,,,,,,,,,,,,,,,,,,,,,1,"['THIH_ECOLI', 'THIG_ECOLI']",1,"['FBIC_MYCTU', 'THIG_MYCTU']",1,"['THIG_MYCLE', 'FBIC_MYCLE']",0,[],0,[]
CPLX0-1862,COG0810,COG0811,COG0848,COG4206,COG0614,COG4139,COG4138,,,,,,,,,,,,,,,,,,,,,1,"['EXBB_ECOLI', 'TONB_ECOLI', 'EXBD_ECOLI', 'BTUD_ECOLI', 'TOLR_ECOLI', 'BTUC_ECOLI', 'FHUD_ECOLI', 'TOLQ_ECOLI', 'BTUB_ECOLI', 'BTUF_ECOLI']",0.142857143,"['O53291_MYCTU', 'L7N6B2_MYCTU']",0.142857143,['Q9CBQ4_MYCLE'],0,[],0,[]
CPLX0-1923,COG0810,COG0811,COG0848,,,,,,,,,,,,,,,,,,,,,,,,,1,"['EXBB_ECOLI', 'TONB_ECOLI', 'EXBD_ECOLI', 'TOLR_ECOLI', 'TOLQ_ECOLI']",0,[],0,[],0,[],0,[]
CPLX0-1942,COG0848,COG0811,COG0810,COG1629,,,,,,,,,,,,,,,,,,,,,,,,1,"['EXBB_ECOLI', 'TONB_ECOLI', 'EXBD_ECOLI', 'FHUA_ECOLI', 'YNCD_ECOLI', 'TOLR_ECOLI', 'YOEA_ECOLI', 'TOLQ_ECOLI']",0,[],0,[],0,[],0,[]
CPLX0-1941,COG0848,COG0811,COG0810,COG4771,,,,,,,,,,,,,,,,,,,,,,,,1,"['EXBB_ECOLI', 'TONB_ECOLI', 'CIRA_ECOLI', 'EXBD_ECOLI', 'TOLR_ECOLI', 'FEPA_ECOLI', 'TOLQ_ECOLI']",0,[],0,[],0,[],0,[]
CPLX0-7954,COG0614,COG0609,COG1120,COG0810,COG0811,COG0848,COG4773,,,,,,,,,,,,,,,,,,,,,1,"['EXBB_ECOLI', 'TONB_ECOLI', 'EXBD_ECOLI', 'FHUE_ECOLI', 'FECE_ECOLI', 'FEPC_ECOLI', 'FHUC_ECOLI', 'FECD_ECOLI', 'FEPD_ECOLI', 'FECC_ECOLI', 'TOLR_ECOLI', 'FHUD_ECOLI', 'FHUB_ECOLI', 'TOLQ_ECOLI', 'BTUF_ECOLI']",0.142857143,"['O53291_MYCTU', 'L7N6B2_MYCTU']",0.142857143,['Q9CBQ4_MYCLE'],0,[],0,[]
CPLX0-2001,COG4594,COG0609,COG0609,COG1120,COG0810,COG0811,COG0848,COG4772,,,,,,,,,,,,,,,,,,,,1,"['FECB_ECOLI', 'EXBB_ECOLI', 'TONB_ECOLI', 'EXBD_ECOLI', 'FECE_ECOLI', 'FEPC_ECOLI', 'FHUC_ECOLI', 'FECD_ECOLI', 'FEPD_ECOLI', 'FECC_ECOLI', 'TOLR_ECOLI', 'FECA_ECOLI', 'FHUB_ECOLI', 'TOLQ_ECOLI']",0,[],0,[],0,[],0,[]
CPLX0-7952,COG4773,COG0848,COG0811,COG0810,,,,,,,,,,,,,,,,,,,,,,,,1,"['EXBB_ECOLI', 'TONB_ECOLI', 'EXBD_ECOLI', 'FHUE_ECOLI', 'TOLR_ECOLI', 'TOLQ_ECOLI']",0,[],0,[],0,[],0,[]
CPLX0-1943,COG4772,COG0848,COG0811,COG0810,,,,,,,,,,,,,,,,,,,,,,,,1,"['EXBB_ECOLI', 'TONB_ECOLI', 'EXBD_ECOLI', 'TOLR_ECOLI', 'FECA_ECOLI', 'TOLQ_ECOLI']",0,[],0,[],0,[],0,[]
CPLX0-1981,COG0614,COG0609,COG1120,COG1629,COG0810,COG0811,COG0848,,,,,,,,,,,,,,,,,,,,,1,"['EXBB_ECOLI', 'TONB_ECOLI', 'EXBD_ECOLI', 'FHUA_ECOLI', 'FECE_ECOLI', 'FEPC_ECOLI', 'YNCD_ECOLI', 'FHUC_ECOLI', 'FECD_ECOLI', 'FEPD_ECOLI', 'FECC_ECOLI', 'TOLR_ECOLI', 'YOEA_ECOLI', 'FHUD_ECOLI', 'FHUB_ECOLI', 'TOLQ_ECOLI', 'BTUF_ECOLI']",0.142857143,"['O53291_MYCTU', 'L7N6B2_MYCTU']",0.142857143,['Q9CBQ4_MYCLE'],0,[],0,[]
CPLX0-7787,COG3041,COG3077,,,,,,,,,,,,,,,,,,,,,,,,,,1,"['YAFQ_ECOLI', 'DINJ_ECOLI', 'RELB_ECOLI']",0,[],0,[],0,[],0,[]
CPLX0-3933,COG2913,COG3317,COG4105,COG4775,COG1520,,,,,,,,,,,,,,,,,,,,,,,1,"['BAMD_ECOLI', 'BAMB_ECOLI', 'BAMC_ECOLI', 'BAMA_ECOLI', 'BAME_ECOLI']",0.2,['Y3035_MYCTU'],0.2,['Q9CBR0_MYCLE'],0.6,"['BAMA_BUCAI', 'BAME_BUCAI', 'BAMD_BUCAI']",0.2,['Q057S7_BUCCC']
CPLX0-2381,COG0855,COG1530,COG0513,COG1185,COG0148,,,,,,,,,,,,,,,,,,,,,,,1,"['PNP_ECOLI', 'ENO_ECOLI', 'RNG_ECOLI', 'DBPA_ECOLI', 'RHLE_ECOLI', 'DEAD_ECOLI', 'PPK1_ECOLI', 'RNE_ECOLI', 'RHLB_ECOLI', 'SRMB_ECOLI']",1,"['PPK1_MYCTU', 'DEAD_MYCTU', 'PNP_MYCTU', 'O05855_MYCTU', 'P71905_MYCTU', 'ENO_MYCTU']",1,"['Q9CCH3_MYCLE', 'PNP_MYCLE', 'PPK1_MYCLE', 'Q9CBZ1_MYCLE', 'ENO_MYCLE']",0.8,"['ENO_BUCAI', 'DEAD_BUCAI', 'RNE_BUCAI', 'PNP_BUCAI']",0.6,"['Q057K4_BUCCC', 'ENO_BUCCC', 'PNP_BUCCC']"
TRANS-CPLX-201,COG0845,COG1538,COG0841,,,,,,,,,,,,,,,,,,,,,,,,,1,"['TOLC_ECOLI', 'MDTF_ECOLI', 'MDTQ_ECOLI', 'CUSC_ECOLI', 'MDTB_ECOLI', 'ACRF_ECOLI', 'MDTC_ECOLI', 'MACA_ECOLI', 'ACRD_ECOLI', 'MDTP_ECOLI', 'ACRB_ECOLI']",0,[],0,[],0,[],0,[]
ABC-32-CPLX,COG3840,COG1178,COG4143,,,,,,,,,,,,,,,,,,,,,,,,,1,"['THIQ_ECOLI', 'THIP_ECOLI', 'AFUB_ECOLI', 'THIB_ECOLI']",0,[],0,[],0,[],0,[]
CPLX0-2361,COG0587,COG0847,NOG07474,,,,,,,,,,,,,,,,,,,,,,,,,1,"['DPO3A_ECOLI', 'RNT_ECOLI', 'DPO3E_ECOLI', 'EXOX_ECOLI']",1,"['O69678_MYCTU', 'DPO3A_MYCTU', 'Y2191_MYCTU', 'DNAE2_MYCTU']",0.5,['DPO3A_MYCLE'],1,"['DPO3E_BUCAI', 'DPO3A_BUCAI', 'RNT_BUCAI']",1,"['RNT_BUCCC', 'Q057S5_BUCCC', 'Q057S0_BUCCC']"
CPLX0-221,COG0085,COG0086,COG0202,COG1595,,,,,,,,,,,,,,,,,,,,,,,,1,"['RPOC_ECOLI', 'RPOE_ECOLI', 'RPOB_ECOLI', 'FECI_ECOLI', 'RPOA_ECOLI']",1,"['SIGL_MYCTU', 'RPOC_MYCTU', 'SIGG_MYCTU', 'SIGH_MYCTU', 'RPSC_MYCTU', 'RPOB_MYCTU', 'RPOA_MYCTU', 'SIGE_MYCTU', 'SIGK_MYCTU', 'SIGI_MYCTU']",1,"['RPOC_MYCLE', 'Q9CC01_MYCLE', 'RPOA_MYCLE', 'RPOB_MYCLE', 'Q9CCA6_MYCLE']",0.75,"['RPOA_BUCAI', 'RPOB_BUCAI', 'RPOC_BUCAI']",0.75,"['RPOA_BUCCC', 'RPOC_BUCCC', 'RPOB_BUCCC']"
RNAP54-CPLX,COG0085,COG0086,COG0202,COG1508,,,,,,,,,,,,,,,,,,,,,,,,1,"['RPOC_ECOLI', 'RPOB_ECOLI', 'RP54_ECOLI', 'RPOA_ECOLI']",0.75,"['RPOC_MYCTU', 'RPOB_MYCTU', 'RPOA_MYCTU']",0.75,"['RPOC_MYCLE', 'RPOA_MYCLE', 'RPOB_MYCLE']",0.75,"['RPOA_BUCAI', 'RPOB_BUCAI', 'RPOC_BUCAI']",0.75,"['RPOA_BUCCC', 'RPOC_BUCCC', 'RPOB_BUCCC']"
RNAPS-CPLX,COG0085,COG0086,COG0202,COG0568,,,,,,,,,,,,,,,,,,,,,,,,1,"['RPOS_ECOLI', 'RPOC_ECOLI', 'RPOB_ECOLI', 'RPOH_ECOLI', 'RPOD_ECOLI', 'RPOA_ECOLI']",1,"['RPOC_MYCTU', 'RPOB_MYCTU', 'RPOA_MYCTU', 'SIGA_MYCTU', 'SIGB_MYCTU']",1,"['RPOC_MYCLE', 'RPOA_MYCLE', 'Q7AQB1_MYCLE', 'RPOB_MYCLE', 'Q59531_MYCLE']",1,"['RPOA_BUCAI', 'RPOH_BUCAI', 'RPOD_BUCAI', 'RPOB_BUCAI', 'RPOC_BUCAI']",1,"['Q058E8_BUCCC', 'Q058D4_BUCCC', 'RPOA_BUCCC', 'RPOC_BUCCC', 'RPOB_BUCCC']"
RNAP32-CPLX,COG0085,COG0086,COG0202,COG0568,,,,,,,,,,,,,,,,,,,,,,,,1,"['RPOS_ECOLI', 'RPOC_ECOLI', 'RPOB_ECOLI', 'RPOH_ECOLI', 'RPOD_ECOLI', 'RPOA_ECOLI']",1,"['RPOC_MYCTU', 'RPOB_MYCTU', 'RPOA_MYCTU', 'SIGA_MYCTU', 'SIGB_MYCTU']",1,"['RPOC_MYCLE', 'RPOA_MYCLE', 'Q7AQB1_MYCLE', 'RPOB_MYCLE', 'Q59531_MYCLE']",1,"['RPOA_BUCAI', 'RPOH_BUCAI', 'RPOD_BUCAI', 'RPOB_BUCAI', 'RPOC_BUCAI']",1,"['Q058E8_BUCCC', 'Q058D4_BUCCC', 'RPOA_BUCCC', 'RPOC_BUCCC', 'RPOB_BUCCC']"
RNAPE-CPLX,COG0085,COG0086,COG0202,COG1595,,,,,,,,,,,,,,,,,,,,,,,,1,"['RPOC_ECOLI', 'RPOE_ECOLI', 'RPOB_ECOLI', 'FECI_ECOLI', 'RPOA_ECOLI']",1,"['SIGL_MYCTU', 'RPOC_MYCTU', 'SIGG_MYCTU', 'SIGH_MYCTU', 'RPSC_MYCTU', 'RPOB_MYCTU', 'RPOA_MYCTU', 'SIGE_MYCTU', 'SIGK_MYCTU', 'SIGI_MYCTU']",1,"['RPOC_MYCLE', 'Q9CC01_MYCLE', 'RPOA_MYCLE', 'RPOB_MYCLE', 'Q9CCA6_MYCLE']",0.75,"['RPOA_BUCAI', 'RPOB_BUCAI', 'RPOC_BUCAI']",0.75,"['RPOA_BUCCC', 'RPOC_BUCCC', 'RPOB_BUCCC']"
RNAP70-CPLX,COG0085,COG0086,COG0202,COG0568,,,,,,,,,,,,,,,,,,,,,,,,1,"['RPOS_ECOLI', 'RPOC_ECOLI', 'RPOB_ECOLI', 'RPOH_ECOLI', 'RPOD_ECOLI', 'RPOA_ECOLI']",1,"['RPOC_MYCTU', 'RPOB_MYCTU', 'RPOA_MYCTU', 'SIGA_MYCTU', 'SIGB_MYCTU']",1,"['RPOC_MYCLE', 'RPOA_MYCLE', 'Q7AQB1_MYCLE', 'RPOB_MYCLE', 'Q59531_MYCLE']",1,"['RPOA_BUCAI', 'RPOH_BUCAI', 'RPOD_BUCAI', 'RPOB_BUCAI', 'RPOC_BUCAI']",1,"['Q058E8_BUCCC', 'Q058D4_BUCCC', 'RPOA_BUCCC', 'RPOC_BUCCC', 'RPOB_BUCCC']"
CPLX0-222,COG1191,COG0085,COG0086,COG0202,,,,,,,,,,,,,,,,,,,,,,,,1,"['FLIA_ECOLI', 'RPOC_ECOLI', 'RPOB_ECOLI', 'RPOA_ECOLI']",1,"['RPOC_MYCTU', 'RPOB_MYCTU', 'RPOA_MYCTU', 'SIGF_MYCTU']",0.75,"['RPOC_MYCLE', 'RPOA_MYCLE', 'RPOB_MYCLE']",0.75,"['RPOA_BUCAI', 'RPOB_BUCAI', 'RPOC_BUCAI']",0.75,"['RPOA_BUCCC', 'RPOC_BUCCC', 'RPOB_BUCCC']"
CPLX0-8,COG1077,COG1792,COG2891,,,,,,,,,,,,,,,,,,,,,,,,,1,"['MREC_ECOLI', 'MREB_ECOLI', 'MRED_ECOLI']",0,[],0,[],0,[],0,[]
CPLX0-7992,COG2980,COG1452,COG0795,COG1137,COG0795,COG3117,COG1934,,,,,,,,,,,,,,,,,,,,,1,"['LPTD_ECOLI', 'LPTB_ECOLI', 'LPTE_ECOLI', 'LPTG_ECOLI', 'LPTF_ECOLI', 'LPTC_ECOLI', 'LPTA_ECOLI']",0,[],0,[],0,[],0,[]
CPLX0-2661,COG1401,COG4268,,,,,,,,,,,,,,,,,,,,,,,,,,1,"['MCRB_ECOLI', 'MCRC_ECOLI']",0,[],0,[],0,[],0,[]
DTDPRHAMSYNTHMULTI-CPLX,COG1898,COG1898,,,,,,,,,,,,,,,,,,,,,,,,,,1,['RMLC_ECOLI'],1,['RMLC_MYCTU'],1,['Q7AQ10_MYCLE'],0,[],0,[]
CPLX0-7791,COG3077,COG2026,,,,,,,,,,,,,,,,,,,,,,,,,,1,"['DINJ_ECOLI', 'RELB_ECOLI', 'RELE_ECOLI']",0.5,"['RELE_MYCTU', 'RELG_MYCTU']",0,[],0,[],0,[]
ABC-28-CPLX,COG1129,COG1172,COG1879,,,,,,,,,,,,,,,,,,,,,,,,,1,"['ARAH_ECOLI', 'RBSB_ECOLI', 'TORT_ECOLI', 'RBSA_ECOLI', 'ARAF_ECOLI', 'LSRC_ECOLI', 'YTFR_ECOLI', 'YPHD_ECOLI', 'MGLA_ECOLI', 'RBSC_ECOLI', 'XYLG_ECOLI', 'ALSB_ECOLI', 'ALSC_ECOLI', 'ALSA_ECOLI', 'YPHF_ECOLI', 'YPHE_ECOLI', 'ARAG_ECOLI', 'DGAL_ECOLI', 'LSRA_ECOLI']",0,[],0.666666667,"['Q49738_MYCLE', 'Q9CCU8_MYCLE']",0,[],0,[]
